"cbsa","geotype","groups","sh20_00to0509","sh20_00to0509s","sh20_0509to1014","sh20_0509to1014s","sh20_00to1014","sh20_00to1014s","sh40_00to0509","sh40_00to0509s","sh40_0509to1014","sh40_0509to1014s","sh40_00to1014","sh40_00to1014s"
10420,"City","All",0.09836,"1",0.07462,"0",0.17298,"1",0.10151,"1",0.08309,"1",0.1846,"1"
10420,"City","Black",0.06659,"0",0.0655,"0",0.1321,"1",0.05971,"1",0.1577,"1",0.21741,"1"
10420,"City","Hispanic",-0.10254,"0",0.31981,"0",0.21727,"0",0.14298,"0",0.21133,"0",0.35431,"1"
10420,"City","White",0.14982,"1",0.07872,"0",0.22854,"1",0.15437,"1",0.01169,"0",0.16606,"1"
10420,"Metro","All",0.11446,"1",0.02088,"0",0.13534,"1",0.07955,"1",0.01947,"0",0.09902,"1"
10420,"Metro","Black",0.08711,"0",0.06357,"0",0.15068,"1",0.05334,"1",0.11849,"1",0.17183,"1"
10420,"Metro","Hispanic",-0.06159,"0",0.1957,"0",0.13411,"0",0.09041,"0",0.12246,"0",0.21287,"1"
10420,"Metro","White",0.14663,"1",-0.00454,"0",0.14209,"1",0.09707,"1",-0.02298,"-1",0.07409,"1"
10420,"Suburb","All",0.18268,"1",-0.03509,"0",0.14758,"1",0.06921,"1",-0.0467,"-1",0.0225,"1"
10420,"Suburb","Black",0.31077,"1",0.1091,"0",0.41987,"1",0.04424,"1",-0.03683,"0",0.00741,"1"
10420,"Suburb","Hispanic",0.03952,"0",-0.00504,"0",0.03448,"0",0.02897,"0",-0.02254,"0",0.00642,"0"
10420,"Suburb","White",0.16814,"1",-0.05797,"-1",0.11016,"1",0.07071,"1",-0.04558,"-1",0.02513,"1"
10580,"City","All",-0.02659,"0",0.07821,"0",0.05162,"0",0.17558,"1",0.03577,"0",0.21136,"1"
10580,"City","Black",-0.045,"0",0.07339,"0",0.02839,"0",0.20839,"1",0.14123,"0",0.34962,"1"
10580,"City","Hispanic",0.05399,"0",-0.00567,"0",0.04832,"0",0.20184,"0",0.0568,"0",0.25864,"1"
10580,"City","White",0.03111,"0",0.01337,"0",0.04449,"0",0.19461,"1",-0.09884,"0",0.09577,"1"
10580,"Metro","All",0.01844,"0",0.02616,"0",0.0446,"1",0.06016,"1",0.00557,"0",0.06572,"1"
10580,"Metro","Black",-0.03326,"0",0.05017,"0",0.01691,"0",0.12889,"1",0.06402,"0",0.19291,"1"
10580,"Metro","Hispanic",0.04608,"0",-0.02822,"0",0.01787,"0",0.1496,"1",-0.07415,"0",0.07545,"1"
10580,"Metro","White",0.0421,"1",-0.03,"0",0.0121,"0",0.04138,"1",-0.02493,"-1",0.01645,"1"
10580,"Suburb","All",0.0334,"0",0.01847,"0",0.05187,"1",0.01959,"1",0.00056,"0",0.02015,"1"
10580,"Suburb","Black",-0.00376,"0",0.0424,"0",0.03864,"0",0.03973,"0",0.00168,"0",0.04141,"0"
10580,"Suburb","Hispanic",0.06604,"0",-0.04891,"0",0.01712,"0",0.13024,"0",-0.13109,"0",-0.00085,"0"
10580,"Suburb","White",0.02594,"0",-0.00657,"0",0.01936,"0",0.00279,"0",0.00317,"0",0.00597,"0"
10740,"City","All",0.08691,"1",0.12078,"1",0.20769,"1",0.04311,"1",0.04503,"1",0.08814,"1"
10740,"City","Black",0.02457,"0",0.08971,"0",0.11428,"0",-0.01185,"0",0.01958,"0",0.00773,"0"
10740,"City","Hispanic",0.07043,"1",0.13903,"1",0.20946,"1",0.03455,"1",0.05591,"1",0.09046,"1"
