"cbsa","geotype","groups","yr","poor","poor20","poor20sh","poor40","poor40sh"
10420,"City","All","2000",34436,21628,0.62806,4093,0.11886
10420,"City","All","2005_09",43940,31919,0.72642,9683,0.22037
10420,"City","All","2010_14",49750,39852,0.80105,15097,0.30346
10420,"City","Black","2000",16663,12909,0.77471,2588,0.15531
10420,"City","Black","2005_09",21305,17924,0.8413,4581,0.21502
10420,"City","Black","2010_14",20978,19023,0.90681,7819,0.37272
10420,"City","Hispanic","2000",409,272,0.66504,38,0.09291
10420,"City","Hispanic","2005_09",992,558,0.5625,234,0.23589
10420,"City","Hispanic","2010_14",1402,1237,0.88231,627,0.44722
10420,"City","White","2000",15229,7169,0.47075,1117,0.07335
10420,"City","White","2005_09",19748,12255,0.62057,4497,0.22772
10420,"City","White","2010_14",22493,15729,0.69928,5385,0.23941
10420,"Metro","All","2000",61384,25326,0.41258,4093,0.06668
10420,"Metro","All","2005_09",86234,45449,0.52704,12610,0.14623
10420,"Metro","All","2010_14",97610,53483,0.54793,16174,0.1657
10420,"Metro","Black","2000",18905,13385,0.70801,2588,0.1369
10420,"Metro","Black","2005_09",24922,19816,0.79512,4741,0.19023
10420,"Metro","Black","2010_14",25434,21840,0.85869,7852,0.30872
10420,"Metro","Hispanic","2000",654,337,0.51529,38,0.0581
10420,"Metro","Hispanic","2005_09",1717,779,0.4537,255,0.14851
10420,"Metro","Hispanic","2010_14",2336,1517,0.6494,633,0.27098
10420,"Metro","White","2000",38420,10038,0.26127,1117,0.02907
10420,"Metro","White","2005_09",55938,22817,0.4079,7056,0.12614
10420,"Metro","White","2010_14",61766,24914,0.40336,6372,0.10316
10420,"Suburb","All","2000",26948,3698,0.13723,0,0
10420,"Suburb","All","2005_09",42294,13530,0.3199,2927,0.06921
10420,"Suburb","All","2010_14",47860,13631,0.28481,1077,0.0225
10420,"Suburb","Black","2000",2242,476,0.21231,0,0
10420,"Suburb","Black","2005_09",3617,1892,0.52309,160,0.04424
10420,"Suburb","Black","2010_14",4456,2817,0.63218,33,0.00741
10420,"Suburb","Hispanic","2000",245,65,0.26531,0,0
10420,"Suburb","Hispanic","2005_09",725,221,0.30483,21,0.02897
10420,"Suburb","Hispanic","2010_14",934,280,0.29979,6,0.00642
10420,"Suburb","White","2000",23191,2869,0.12371,0,0
10420,"Suburb","White","2005_09",36190,10562,0.29185,2559,0.07071
10420,"Suburb","White","2010_14",39273,9185,0.23388,987,0.02513
10580,"City","All","2000",18591,15625,0.84046,2687,0.14453
10580,"City","All","2005_09",21764,17713,0.81387,6967,0.32012
10580,"City","All","2010_14",23378,20855,0.89208,8320,0.35589
10580,"City","Black","2000",7994,7464,0.9337,1248,0.15612
10580,"City","Black","2005_09",8329,7402,0.8887,3036,0.36451
10580,"City","Black","2010_14",8969,8629,0.96209,4536,0.50574
10580,"City","Hispanic","2000",1653,1404,0.84936,249,0.15064
10580,"City","Hispanic","2005_09",1759,1589,0.90335,620,0.35247
10580,"City","Hispanic","2010_14",3020,2711,0.89768,1236,0.40927
10580,"City","White","2000",7682,5749,0.74837,921,0.11989
10580,"City","White","2005_09",10353,8070,0.77948,3256,0.3145
10580,"City","White","2010_14",7869,6239,0.79286,1697,0.21566
