"cbsa","geotype","groups","yr","poor20shsig","poor20sh","poor40shsig","poor40sh"
10420,"City","All","00to0509",1,0.09836,1,0.10151
10420,"City","All","0509to1014",0,0.07462,1,0.08309
10420,"City","Black","00to0509",0,0.06659,1,0.05971
10420,"City","Black","0509to1014",0,0.0655,1,0.1577
10420,"City","Hispanic","00to0509",0,-0.10254,0,0.14298
10420,"City","Hispanic","0509to1014",0,0.31981,0,0.21133
10420,"City","White","00to0509",1,0.14982,1,0.15437
10420,"City","White","0509to1014",0,0.07872,0,0.01169
10420,"Metro","All","00to0509",1,0.11446,1,0.07955
10420,"Metro","All","0509to1014",0,0.02088,0,0.01947
10420,"Metro","Black","00to0509",0,0.08711,1,0.05334
10420,"Metro","Black","0509to1014",0,0.06357,1,0.11849
10420,"Metro","Hispanic","00to0509",0,-0.06159,0,0.09041
10420,"Metro","Hispanic","0509to1014",0,0.1957,0,0.12246
10420,"Metro","White","00to0509",1,0.14663,1,0.09707
10420,"Metro","White","0509to1014",0,-0.00454,-1,-0.02298
10420,"Suburb","All","00to0509",1,0.18268,1,0.06921
10420,"Suburb","All","0509to1014",0,-0.03509,-1,-0.0467
10420,"Suburb","Black","00to0509",1,0.31077,1,0.04424
10420,"Suburb","Black","0509to1014",0,0.1091,0,-0.03683
10420,"Suburb","Hispanic","00to0509",0,0.03952,0,0.02897
10420,"Suburb","Hispanic","0509to1014",0,-0.00504,0,-0.02254
10420,"Suburb","White","00to0509",1,0.16814,1,0.07071
10420,"Suburb","White","0509to1014",-1,-0.05797,-1,-0.04558
10580,"City","All","00to0509",0,-0.02659,1,0.17558
10580,"City","All","0509to1014",0,0.07821,0,0.03577
10580,"City","Black","00to0509",0,-0.045,1,0.20839
10580,"City","Black","0509to1014",0,0.07339,0,0.14123
10580,"City","Hispanic","00to0509",0,0.05399,0,0.20184
10580,"City","Hispanic","0509to1014",0,-0.00567,0,0.0568
10580,"City","White","00to0509",0,0.03111,1,0.19461
10580,"City","White","0509to1014",0,0.01337,0,-0.09884
10580,"Metro","All","00to0509",0,0.01844,1,0.06016
10580,"Metro","All","0509to1014",0,0.02616,0,0.00557
10580,"Metro","Black","00to0509",0,-0.03326,1,0.12889
10580,"Metro","Black","0509to1014",0,0.05017,0,0.06402
10580,"Metro","Hispanic","00to0509",0,0.04608,1,0.1496
10580,"Metro","Hispanic","0509to1014",0,-0.02822,0,-0.07415
10580,"Metro","White","00to0509",1,0.0421,1,0.04138
10580,"Metro","White","0509to1014",0,-0.03,-1,-0.02493
10580,"Suburb","All","00to0509",0,0.0334,1,0.01959
10580,"Suburb","All","0509to1014",0,0.01847,0,0.00056
10580,"Suburb","Black","00to0509",0,-0.00376,0,0.03973
10580,"Suburb","Black","0509to1014",0,0.0424,0,0.00168
10580,"Suburb","Hispanic","00to0509",0,0.06604,0,0.13024
10580,"Suburb","Hispanic","0509to1014",0,-0.04891,0,-0.13109
10580,"Suburb","White","00to0509",0,0.02594,0,0.00279
10580,"Suburb","White","0509to1014",0,-0.00657,0,0.00317
10740,"City","All","00to0509",1,0.08691,1,0.04311
10740,"City","All","0509to1014",1,0.12078,1,0.04503
10740,"City","Black","00to0509",0,0.02457,0,-0.01185
10740,"City","Black","0509to1014",0,0.08971,0,0.01958
10740,"City","Hispanic","00to0509",1,0.07043,1,0.03455
10740,"City","Hispanic","0509to1014",1,0.13903,1,0.05591
10740,"City","White","00to0509",1,0.10943,1,0.04528
10740,"City","White","0509to1014",1,0.08779,0,0.00905
10740,"Metro","All","00to0509",1,0.05208,1,0.02339
10740,"Metro","All","0509to1014",1,0.11681,1,0.04567
10740,"Metro","Black","00to0509",0,-0.01229,0,-0.00933
10740,"Metro","Black","0509to1014",0,0.08183,0,0.01822
10740,"Metro","Hispanic","00to0509",1,0.06479,1,0.02648
10740,"Metro","Hispanic","0509to1014",1,0.13439,1,0.06766
10740,"Metro","White","00to0509",1,0.0829,1,0.03085
10740,"Metro","White","0509to1014",1,0.09839,0,0.01021
10740,"Suburb","All","00to0509",0,-0.00618,-1,-0.01406
10740,"Suburb","All","0509to1014",1,0.11881,1,0.05574
10740,"Suburb","Black","00to0509",0,-0.27609,0,-0.00218
10740,"Suburb","Black","0509to1014",0,0.15393,0,0.02827
10740,"Suburb","Hispanic","00to0509",0,0.04973,0,0.00157
10740,"Suburb","Hispanic","0509to1014",1,0.13358,1,0.09631
10740,"Suburb","White","00to0509",0,0.02525,0,-0.00068
10740,"Suburb","White","0509to1014",1,0.14026,1,0.02692
10900,"City","All","00to0509",1,0.1852,1,0.04729
10900,"City","All","0509to1014",0,0.07345,1,0.08706
10900,"City","Black","00to0509",0,0.17384,0,0.07151
10900,"City","Black","0509to1014",0,0.03286,0,0.07343
10900,"City","Hispanic","00to0509",0,0.14898,0,-0.02266
