cbsa,metro,geotype,group,_20plus_share_00to0509,_20plus_share_00to0509_sig,_20plus_share_0509to1014,_20plus_share_0509to1014_sig,_20plus_share_00to1014,_20plus_share_00to1014_sig,_40plus_share_00to0509,_40plus_share_00to0509_sig,_40plus_share_0509to1014,_40plus_share_0509to1014_sig,_40plus_share_00to1014,_40plus_share_00to1014_sig
10420,"Akron, OH",City,All,0.09836,Increase,0.07462,No Change,0.17298,Increase,0.10151,Increase,0.08309,Increase,0.18460,Increase
10420,"Akron, OH",City,Black,0.06659,No Change,0.06550,No Change,0.13210,Increase,0.05971,Increase,0.15770,Increase,0.21741,Increase
10420,"Akron, OH",City,Hispanic,-0.10254,No Change,0.31981,No Change,0.21727,No Change,0.14298,No Change,0.21133,No Change,0.35431,Increase
10420,"Akron, OH",City,Non-Hispanic White,0.14982,Increase,0.07872,No Change,0.22854,Increase,0.15437,Increase,0.01169,No Change,0.16606,Increase
10420,"Akron, OH",Metro,All,0.11446,Increase,0.02088,No Change,0.13534,Increase,0.07955,Increase,0.01947,No Change,0.09902,Increase
10420,"Akron, OH",Metro,Black,0.08711,No Change,0.06357,No Change,0.15068,Increase,0.05334,Increase,0.11849,Increase,0.17183,Increase
10420,"Akron, OH",Metro,Hispanic,-0.06159,No Change,0.19570,No Change,0.13411,No Change,0.09041,No Change,0.12246,No Change,0.21287,Increase
10420,"Akron, OH",Metro,Non-Hispanic White,0.14663,Increase,-0.00454,No Change,0.14209,Increase,0.09707,Increase,-0.02298,Decrease,0.07409,Increase
10420,"Akron, OH",Suburb,All,0.18268,Increase,-0.03509,No Change,0.14758,Increase,0.06921,Increase,-0.04670,Decrease,0.02250,Increase
10420,"Akron, OH",Suburb,Black,0.31077,Increase,0.10910,No Change,0.41987,Increase,0.04424,Increase,-0.03683,No Change,0.00741,Increase
10420,"Akron, OH",Suburb,Hispanic,0.03952,No Change,-0.00504,No Change,0.03448,No Change,0.02897,No Change,-0.02254,No Change,0.00642,No Change
10420,"Akron, OH",Suburb,Non-Hispanic White,0.16814,Increase,-0.05797,Decrease,0.11016,Increase,0.07071,Increase,-0.04558,Decrease,0.02513,Increase
10580,"Albany-Schenectady-Troy, NY",City,All,-0.02659,No Change,0.07821,No Change,0.05162,No Change,0.17558,Increase,0.03577,No Change,0.21136,Increase
10580,"Albany-Schenectady-Troy, NY",City,Black,-0.04500,No Change,0.07339,No Change,0.02839,No Change,0.20839,Increase,0.14123,No Change,0.34962,Increase
10580,"Albany-Schenectady-Troy, NY",City,Hispanic,0.05399,No Change,-0.00567,No Change,0.04832,No Change,0.20184,No Change,0.05680,No Change,0.25864,Increase
10580,"Albany-Schenectady-Troy, NY",City,Non-Hispanic White,0.03111,No Change,0.01337,No Change,0.04449,No Change,0.19461,Increase,-0.09884,No Change,0.09577,Increase
10580,"Albany-Schenectady-Troy, NY",Metro,All,0.01844,No Change,0.02616,No Change,0.04460,Increase,0.06016,Increase,0.00557,No Change,0.06572,Increase
10580,"Albany-Schenectady-Troy, NY",Metro,Black,-0.03326,No Change,0.05017,No Change,0.01691,No Change,0.12889,Increase,0.06402,No Change,0.19291,Increase
10580,"Albany-Schenectady-Troy, NY",Metro,Hispanic,0.04608,No Change,-0.02822,No Change,0.01787,No Change,0.14960,Increase,-0.07415,No Change,0.07545,Increase
10580,"Albany-Schenectady-Troy, NY",Metro,Non-Hispanic White,0.04210,Increase,-0.03000,No Change,0.01210,No Change,0.04138,Increase,-0.02493,Decrease,0.01645,Increase
10580,"Albany-Schenectady-Troy, NY",Suburb,All,0.03340,No Change,0.01847,No Change,0.05187,Increase,0.01959,Increase,0.00056,No Change,0.02015,Increase
10580,"Albany-Schenectady-Troy, NY",Suburb,Black,-0.00376,No Change,0.04240,No Change,0.03864,No Change,0.03973,No Change,0.00168,No Change,0.04141,No Change
10580,"Albany-Schenectady-Troy, NY",Suburb,Hispanic,0.06604,No Change,-0.04891,No Change,0.01712,No Change,0.13024,No Change,-0.13109,No Change,-0.00085,No Change
