cbsa,metro,geotype,group,year,poor,_20plus_poor,_20plus_poor_share,_40plus_poor,_40plus_poor_share
10420,"Akron, OH",City,All,2000,34436.00000,21628.00000,0.62806,4093.00000,0.11886
10420,"Akron, OH",City,All,2005-09,43940.00000,31919.00000,0.72642,9683.00000,0.22037
10420,"Akron, OH",City,All,2010-14,49750.00000,39852.00000,0.80105,15097.00000,0.30346
10420,"Akron, OH",City,Black,2000,16663.00000,12909.00000,0.77471,2588.00000,0.15531
10420,"Akron, OH",City,Black,2005-09,21305.00000,17924.00000,0.84130,4581.00000,0.21502
10420,"Akron, OH",City,Black,2010-14,20978.00000,19023.00000,0.90681,7819.00000,0.37272
10420,"Akron, OH",City,Hispanic,2000,409.00000,272.00000,0.66504,38.00000,0.09291
10420,"Akron, OH",City,Hispanic,2005-09,992.00000,558.00000,0.56250,234.00000,0.23589
10420,"Akron, OH",City,Hispanic,2010-14,1402.00000,1237.00000,0.88231,627.00000,0.44722
10420,"Akron, OH",City,Non-Hispanic White,2000,15229.00000,7169.00000,0.47075,1117.00000,0.07335
10420,"Akron, OH",City,Non-Hispanic White,2005-09,19748.00000,12255.00000,0.62057,4497.00000,0.22772
10420,"Akron, OH",City,Non-Hispanic White,2010-14,22493.00000,15729.00000,0.69928,5385.00000,0.23941
10420,"Akron, OH",Metro,All,2000,61384.00000,25326.00000,0.41258,4093.00000,0.06668
10420,"Akron, OH",Metro,All,2005-09,86234.00000,45449.00000,0.52704,12610.00000,0.14623
10420,"Akron, OH",Metro,All,2010-14,97610.00000,53483.00000,0.54793,16174.00000,0.16570
10420,"Akron, OH",Metro,Black,2000,18905.00000,13385.00000,0.70801,2588.00000,0.13690
10420,"Akron, OH",Metro,Black,2005-09,24922.00000,19816.00000,0.79512,4741.00000,0.19023
10420,"Akron, OH",Metro,Black,2010-14,25434.00000,21840.00000,0.85869,7852.00000,0.30872
10420,"Akron, OH",Metro,Hispanic,2000,654.00000,337.00000,0.51529,38.00000,0.05810
10420,"Akron, OH",Metro,Hispanic,2005-09,1717.00000,779.00000,0.45370,255.00000,0.14851
10420,"Akron, OH",Metro,Hispanic,2010-14,2336.00000,1517.00000,0.64940,633.00000,0.27098
10420,"Akron, OH",Metro,Non-Hispanic White,2000,38420.00000,10038.00000,0.26127,1117.00000,0.02907
10420,"Akron, OH",Metro,Non-Hispanic White,2005-09,55938.00000,22817.00000,0.40790,7056.00000,0.12614
10420,"Akron, OH",Metro,Non-Hispanic White,2010-14,61766.00000,24914.00000,0.40336,6372.00000,0.10316
10420,"Akron, OH",Suburb,All,2000,26948.00000,3698.00000,0.13723,0.00000,0.00000
10420,"Akron, OH",Suburb,All,2005-09,42294.00000,13530.00000,0.31990,2927.00000,0.06921
10420,"Akron, OH",Suburb,All,2010-14,47860.00000,13631.00000,0.28481,1077.00000,0.02250
10420,"Akron, OH",Suburb,Black,2000,2242.00000,476.00000,0.21231,0.00000,0.00000
